,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,10.0598,0.4301,-0.061,0.0205,0.0108,0.0363
1,10.0589,0.4855,-0.0263,0.0173,0.0041,0.0449
2,10.0965,0.4226,-0.015,0.0118,-0.003,0.0416
3,10.0955,0.3662,-0.0723,0.0068,0.0067,0.0268
4,10.0833,0.3775,-0.0564,0.0097,0.0158,0.0226
5,10.0711,0.3766,-0.0366,0.001,0.0135,0.0233
6,10.0589,0.3879,-0.0366,0.0,0.0055,0.0191
7,10.0739,0.3793,-0.0357,-0.0012,0.0114,0.0152
8,10.0815,0.3183,-0.0253,-0.0021,0.0107,0.0182
9,10.0476,0.3296,-0.0113,0.0003,0.0072,0.015
10,10.0851,0.3409,-0.0122,-0.0002,0.0043,0.0137
11,10.0711,0.3409,-0.0366,0.0076,0.0139,0.015
12,10.0711,0.293,0.0583,0.0084,0.0095,0.0127
13,10.0833,0.3287,0.0,0.0003,0.0072,0.0085
14,10.0964,0.3052,0.0253,0.0095,0.0064,0.0082
15,10.106,0.2712,-0.0104,0.0172,0.0078,0.0053
16,10.0467,0.3165,0.0157,0.0204,0.0053,0.0032
17,10.106,0.3287,0.0122,0.0129,0.0002,0.0041
18,10.106,0.3148,-0.0244,0.0185,0.0077,0.003
19,10.0589,0.3174,0.0488,0.0306,0.0054,0.0022
20,10.0598,0.2947,0.048,0.0205,-0.0021,0.0043
21,10.1052,0.3035,0.0009,0.0192,-0.0022,0.0053
22,10.0947,0.2677,0.0009,0.0261,0.0021,0.0053
23,10.0808,0.3043,0.0505,0.0246,-0.0012,0.0034
24,10.0711,0.2677,0.0105,0.0152,-0.0075,0.0086
25,10.1077,0.2799,-0.0244,0.0331,0.0046,0.0065
26,10.085,0.2686,0.0,0.0375,0.014,0.0053
27,10.0719,0.2694,0.0375,0.036,0.0127,0.0074
28,10.0589,0.3393,0.0594,0.0379,0.0022,0.0159
29,10.0719,0.2531,0.0594,0.0323,-0.0077,0.0192
30,10.0678,0.2824,0.0602,0.0298,-0.0192,0.0234
31,10.0475,0.2564,0.0244,0.028,-0.0313,0.0289
32,10.0239,0.2458,0.0374,0.0266,-0.0507,0.0343
33,10.1061,0.2197,0.0382,0.0246,-0.0781,0.0414
34,10.0793,0.2205,0.0146,0.0342,-0.1023,0.048
35,10.0695,0.1107,0.0252,0.0433,-0.1439,0.0578
36,10.0841,0.1115,0.0,0.0474,-0.1981,0.0652
37,10.2648,0.0082,-0.0748,0.0884,-0.2333,0.062
38,10.303,0.0626,-0.0961,0.1502,-0.267,0.057
39,10.3519,0.0374,-0.1792,0.1901,-0.3547,0.0671
40,10.4448,0.6243,-0.241,0.2144,-0.4569,0.0328
41,10.7856,-0.1379,-0.0418,0.2342,-0.5475,0.0593
42,10.4425,-0.8911,1.1632,1.134,-0.5123,0.1933
43,9.0993,2.3826,-3.3426,0.522,-1.0869,0.3331
44,6.8962,3.7731,0.6341,-0.0219,-0.1234,-0.1541
45,7.2039,7.3398,0.3159,-0.9683,0.9669,-0.9008
46,13.3893,-12.5757,-13.134,1.8274,0.3785,-0.2015
47,9.6916,-4.0121,3.947,-0.9388,0.1869,0.0069
48,8.364,-3.3932,-1.3574,-0.6622,-0.053,-0.2189
49,9.7081,1.5285,-2.1269,-0.1222,-0.0749,-0.2919
50,9.9339,0.452,-1.2899,-0.5838,-0.0253,-0.3325
51,10.2354,1.0865,-1.2481,-0.4231,-0.0478,-0.2693
52,9.9649,0.459,-1.1487,-0.3928,0.0202,-0.242
53,10.3482,0.4949,-0.9558,-0.2388,-0.0019,-0.2462
54,10.0223,1.0269,-1.3299,-0.1206,0.0488,-0.2386
55,10.1917,1.2258,-1.2444,-0.0085,0.1095,-0.2013
56,10.0582,1.1647,-1.1805,-0.0658,0.1649,-0.1768
57,10.1192,1.2408,-1.0671,0.0067,0.1996,-0.1577
58,10.0589,1.3536,-1.1554,0.0143,0.2853,-0.1335
59,10.1027,1.2947,-0.8632,0.0363,0.3496,-0.1164
60,10.0892,1.3616,-0.6787,0.0865,0.395,-0.1024
61,9.9354,1.3909,-0.4245,0.0772,0.3583,-0.0843
62,9.8636,1.498,-0.135,0.0569,0.2754,-0.0568
63,9.8636,1.8674,-0.112,-0.0551,0.1594,-0.0177
64,9.9124,1.5496,-0.099,-0.0729,0.0925,0.0164
65,9.8901,1.4872,-0.0502,-0.1017,0.03,0.0503
66,9.9368,1.3509,-0.0753,-0.0831,-0.0132,0.0618
67,10.0101,1.3699,-0.0997,-0.1084,-0.0569,0.0515
68,9.9945,1.4276,-0.196,-0.113,-0.0641,0.0729
69,10.0121,1.3319,-0.1845,-0.1021,-0.0757,0.0901
70,9.9524,0.9189,-0.1722,-0.0374,-0.0749,0.0824
71,9.9593,1.2587,-0.1356,-0.0493,-0.1096,0.0871
72,9.9985,1.3075,-0.3187,-0.0448,-0.1432,0.1382
73,10.2806,1.1318,-0.5988,-0.0397,-0.0885,0.1643
74,10.366,0.5905,-0.575,0.0435,0.0432,0.0854
75,10.1077,0.9066,-0.5256,0.098,0.1619,0.0363
76,10.0326,1.0865,-0.3026,0.1222,0.1943,0.0462
77,10.021,0.8938,-0.0861,0.0962,0.1781,0.0502
78,9.9875,0.8339,-0.0585,0.0871,0.15,0.0426
79,10.1071,1.1447,-0.1092,0.0308,0.1183,0.0659
80,10.0711,0.8508,-0.0861,0.0037,0.1574,0.0328
81,10.0405,0.1991,0.0647,-0.0155,0.1575,0.0526
82,9.8874,0.9956,0.1721,0.0643,0.0816,0.0568
83,10.0095,0.8142,0.0763,0.0242,0.0244,0.0672
84,10.0479,0.7556,0.0726,-0.015,0.0319,0.0543
85,10.0699,0.7923,0.0983,-0.015,0.0374,0.0491
86,10.0119,0.7318,0.2057,-0.0105,0.0256,0.0491
87,10.0821,0.7313,0.1105,-0.0131,0.0171,0.0447
88,10.0741,0.7324,0.1343,-0.0143,0.0266,0.0341
89,10.0577,0.6598,0.1587,-0.0139,0.0319,0.0193
90,10.0577,0.6947,0.2087,-0.0127,0.0202,0.0139
91,10.0589,0.6819,0.1959,-0.0233,0.0106,0.0096
92,10.0473,0.672,0.2203,-0.0075,0.0117,0.0073
93,10.0351,0.6493,0.207,0.0021,0.0042,0.0002
94,10.0705,0.7075,0.2075,-0.0001,-0.0054,0.0062
95,10.0711,0.6958,0.1942,-0.0063,-0.0106,0.0075
96,10.0362,0.6714,0.2192,-0.0032,-0.0162,0.0085
97,10.0595,0.6475,0.1709,-0.0033,-0.0223,0.002
98,10.0472,0.6836,0.182,-0.0098,-0.0182,-0.0012
99,10.0711,0.6342,0.1704,-0.0204,-0.0279,-0.0054
100,10.0706,0.6226,0.1104,-0.0296,-0.0235,-0.0129
101,10.0945,0.622,0.1109,-0.0167,-0.0159,-0.0215
