,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,9.6563,1.7205,0.8047,-0.2946,-0.0779,0.0438
1,9.6561,1.721,0.8054,-0.2947,-0.078,0.0438
2,9.6552,1.906,0.6795,-0.1667,-0.0802,0.0362
3,9.7472,1.5211,0.887,0.0308,-0.0595,0.0524
4,9.914,1.425,0.8806,-0.0218,-0.0632,0.0383
5,9.8864,1.5862,0.8903,0.0092,-0.0827,0.0223
6,9.8278,1.5731,0.7911,0.0657,-0.0891,0.0257
7,9.8009,1.5894,0.6706,0.0662,-0.0876,0.0347
8,9.8001,1.6626,0.621,0.0521,-0.0691,0.0483
9,9.8285,1.6472,0.6462,0.0491,-0.0585,0.0763
10,9.7911,1.6952,0.5974,0.0357,-0.0425,0.1039
11,9.7813,1.5098,0.608,0.0153,-0.0407,0.1197
12,9.8628,1.3176,0.6592,0.0397,-0.039,0.1121
13,9.8262,1.294,0.7431,0.0572,-0.0797,0.1055
14,9.8491,1.2917,0.5745,0.0783,-0.1083,0.081
15,9.7652,1.2742,0.4372,0.0701,-0.1197,0.0684
16,9.5607,1.1338,0.3868,0.0812,-0.1262,0.0636
17,9.3676,1.0727,0.1221,0.221,-0.0981,0.0587
18,9.8307,1.2551,0.2632,0.2985,-0.0723,0.0785
19,10.0784,1.62,0.5232,0.2503,-0.0671,0.0938
20,10.6244,1.1315,0.5777,0.0361,-0.1389,0.0025
21,10.2109,1.28,-0.138,-0.0012,-0.0576,-0.1027
22,9.9435,1.6473,0.1768,-0.0884,0.0583,-0.0831
23,10.8862,1.319,0.1218,-0.1123,0.1537,-0.0745
24,10.5838,2.1913,0.1917,-0.3209,0.2612,0.0137
25,10.6828,0.5442,0.1516,-0.2649,0.3612,-0.0972
26,10.0588,0.8581,0.7526,-0.1634,0.3721,-0.1191
27,9.1564,1.5131,1.5355,-0.2547,0.1466,-0.0954
28,9.1678,0.7667,1.4721,-0.2251,-0.1134,-0.1571
29,9.2791,0.3842,1.0276,-0.3894,-0.2689,-0.1722
30,9.3293,0.5673,0.6556,-0.8915,-0.279,-0.0785
31,9.5627,1.5603,0.1566,-1.3247,-0.1672,0.0312
32,9.6058,2.3904,0.1357,-1.2323,-0.0332,0.095
33,9.7917,2.9089,0.3955,-0.5142,0.0116,0.0529
34,10.053,0.6906,1.2434,0.154,-0.0436,-0.0097
35,9.8629,1.0439,0.9745,-0.0374,-0.1037,0.0004
36,9.7164,1.3212,0.7677,0.0027,-0.1716,-0.0277
37,9.7781,1.6961,0.4734,0.1253,-0.1914,-0.0042
38,9.8046,1.4534,0.3635,0.0783,-0.1739,0.0227
39,9.85,1.6955,0.3655,0.1467,-0.1482,0.0475
40,9.9524,1.4222,0.3438,0.1255,-0.1149,0.0566
41,10.0121,1.454,0.3289,0.0742,-0.07,0.0536
42,10.0318,1.4636,0.3045,0.0564,-0.0383,0.0631
43,9.949,1.2085,0.3791,0.0287,-0.0106,0.0437
44,9.8514,1.2689,0.3425,0.0279,-0.0282,0.0254
45,9.8405,1.3184,0.3045,0.0275,-0.0501,0.0074
46,9.9131,1.3672,0.2551,0.0231,-0.0554,0.0086
47,9.9266,1.3557,0.2307,0.0053,-0.0299,0.0184
48,9.9098,1.4051,0.1953,0.0083,-0.0179,0.0388
49,9.888,1.3923,0.1709,0.004,-0.0039,0.0623
50,9.8514,1.3788,0.1581,-0.0117,0.0118,0.0802
51,9.888,1.1732,0.2454,0.0,0.0138,0.0822
52,9.9143,1.1719,0.329,0.0042,-0.0021,0.0726
53,9.9381,1.1334,0.2795,0.0149,-0.0064,0.0608
54,9.9368,1.1109,0.2667,0.0191,-0.0118,0.0436
55,9.9008,1.1237,0.2783,0.0204,-0.015,0.0297
56,9.9252,1.0993,0.2911,0.017,-0.0268,0.019
57,9.8898,1.1579,0.2545,0.0222,-0.0352,0.0085
58,9.9124,1.1371,0.1593,0.0224,-0.0291,0.0076
59,9.9606,1.1719,0.1697,0.014,-0.0224,0.0138
60,9.9264,1.1725,0.1715,0.0106,-0.0123,0.015
61,9.9124,1.1585,0.1361,0.0052,0.0022,0.0192
62,9.913,1.1481,0.1605,0.0031,0.0087,0.0192
63,9.924,1.1091,0.1959,-0.0032,0.0192,0.0147
64,9.9246,1.1085,0.2441,0.001,0.0021,0.0063
65,9.888,1.0992,0.1942,0.0,-0.0065,-0.0044
66,9.9374,1.1015,0.2075,-0.0054,-0.0096,-0.0129
67,9.9258,1.1975,0.1343,-0.0053,0.0087,-0.0106
68,9.9246,1.1708,0.1709,-0.015,0.0277,-0.001
69,9.9002,1.1952,0.2075,-0.0192,0.0383,0.0011
70,9.9474,1.1236,0.2802,-0.0192,0.0308,-0.0054
71,9.8997,1.148,0.2686,-0.0204,0.019,-0.0109
72,9.888,1.1613,0.2797,-0.0084,0.0062,-0.0161
73,9.9002,1.1619,0.2781,-0.0031,-0.0096,-0.013
74,9.9124,1.2435,0.1714,0.0118,0.0024,-0.0086
75,9.9612,1.2335,0.2086,0.015,0.0215,-0.0041
76,9.9363,1.2929,0.2548,0.0063,0.0474,0.0088
77,9.8997,1.1953,0.293,-0.0097,0.0589,0.0214
78,9.8747,1.1714,0.3301,-0.0139,0.0543,0.0235
79,9.828,1.0758,0.3912,-0.0011,0.0315,0.0139
80,9.888,1.1491,0.3875,0.0053,-0.0001,0.0053
81,9.948,1.1831,0.3545,0.0044,-0.0044,0.0032
82,9.9124,1.2207,0.3164,0.0053,-0.001,0.0045
83,9.8885,1.1846,0.3291,0.0044,0.0022,0.0075
84,9.9007,1.1485,0.3413,0.0077,0.0073,0.0076
85,9.9348,1.1846,0.3535,0.0126,0.0,0.0064
86,9.8763,1.1963,0.2935,0.0052,0.0066,0.0064
87,9.9134,1.1602,0.356,0.0043,0.0085,0.0043
88,9.8875,1.1704,0.3423,0.0031,0.0032,0.0021
89,9.9105,1.2203,0.3413,-0.0033,0.0001,0.0
90,9.9002,1.232,0.2935,-0.0044,0.0022,0.0001
91,9.9119,1.1729,0.3667,-0.0095,0.0096,0.0032
92,9.9119,1.1719,0.378,0.0,-0.0001,0.002
93,9.9129,1.1982,0.3662,-0.001,-0.0035,-0.0064
94,9.8889,1.232,0.3531,0.0011,-0.0106,0.0
95,9.9242,1.2555,0.3301,-0.0021,0.0062,0.0043
96,9.8988,1.2072,0.3784,0.0054,-0.0001,0.0043
97,9.8875,1.2447,0.3414,0.0044,-0.0085,0.0043
98,9.8645,1.2447,0.3418,0.0064,0.0001,0.0087
99,9.8518,1.1954,0.3553,0.0064,-0.0086,0.0129
100,9.888,1.2081,0.3675,0.0074,-0.0215,0.0084
