stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step,method,subject,side
0,3.733184000000165,1.2089671954398185,0.0542798049,1.3999440000002323,0.683306000000357,0.7166379999998753,0.5119047619045879,4.44982200000004,5.133128000000397,534,616,False,False,3P,S2,right
1,5.133128000000397,1.161853517700726,0.0583767207,1.383277999999791,0.6333079999999427,0.7499699999998484,0.5421686746987675,5.8830980000002455,6.516406000000188,706,782,False,False,3P,S2,right
2,6.516406000000188,1.2029858350829965,0.0540264372,1.449942000000192,0.6666400000003705,0.7833019999998214,0.5402298850572766,7.29970800000001,7.96634800000038,876,956,False,False,3P,S2,right
3,7.96634800000038,1.248529050028715,0.0565696842,1.416609999999764,0.7083050000001094,0.7083049999996547,0.4999999999998395,8.674653000000035,9.382958000000144,1041,1126,True,False,3P,S2,right
4,9.382958000000144,1.1284396431329151,0.0557674731,1.3249470000000656,0.6083090000001903,0.7166379999998753,0.5408805031445332,10.09959600000002,10.70790500000021,1212,1285,False,False,3P,S2,right
5,10.70790500000021,1.2825930646315535,0.0612279446,1.3916110000000117,0.6666399999999157,0.724971000000096,0.5209580838323999,11.432876000000306,12.099516000000222,1372,1452,False,False,3P,S2,right
6,12.099516000000222,1.269416876621841,0.0611021036,1.4082769999999982,0.6749730000001364,0.7333039999998618,0.5207100591715002,12.832820000000083,13.50779300000022,1540,1621,False,False,3P,S2,right
7,13.50779300000022,1.224058800031354,0.0548063561,1.3249470000000656,0.6999719999998888,0.6249750000001768,0.4716981132076572,14.132768000000397,14.832740000000284,1696,1780,True,False,3P,S2,right
8,14.832740000000284,1.2613181803814908,0.054702417,1.3582790000000386,0.6499739999999292,0.7083050000001094,0.5214723926381025,15.541045000000397,16.191019000000324,1865,1943,False,False,3P,S2,right
9,16.191019000000324,1.2579620090664874,0.0604859935,1.2916150000000926,0.6249750000001768,0.6666399999999157,0.5161290322579623,16.85765900000024,17.482634000000417,2023,2098,False,False,3P,S2,right
10,17.482634000000417,1.291558549924935,0.0584930884,1.3249469999996109,0.6666399999999157,0.6583069999996951,0.4968553459118655,18.14094100000011,18.807581000000027,2177,2257,True,False,3P,S2,right
11,18.807581000000027,1.3080712702285269,0.0605675747,1.3582790000000386,0.7083049999996547,0.649974000000384,0.4785276073622322,19.45755500000041,20.165860000000063,2335,2420,True,False,3P,S2,right
12,20.165860000000063,1.3228441135855171,0.0640091755,1.3666120000002593,0.6833059999999023,0.683306000000357,0.5000000000001664,20.849166000000423,21.532472000000325,2502,2584,False,False,3P,S2,right
