stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step,method,subject
0,5.158127000000036,1.2292718850571909,0.0604634809,1.5582709999999906,0.5499780000000101,1.0082929999999806,0.6470588235294031,6.166420000000016,6.7163980000000265,740,806,False,False,3P,S1
1,6.7163980000000265,1.223137374583612,0.0593881892,1.6332680000000437,0.4916470000000572,1.1416209999999865,0.6989795918367077,7.858019000000013,8.34966600000007,943,1002,False,False,3P,S1
2,8.34966600000007,1.1361234790983186,0.0497743182,1.7165979999999763,0.5083130000000438,1.2082849999999326,0.7038834951456014,9.557951000000005,10.066264000000048,1147,1208,True,True,3P,S1
3,10.066264000000048,1.879235082288967,0.0640928225,4.833139999999958,0.5999759999999696,4.233163999999988,0.8758620689655224,14.299428000000034,14.899404000000004,1716,1788,True,True,3P,S1
4,14.899404000000004,1.3007414315784087,0.0633634608,1.7332640000000763,0.5249790000000303,1.2082850000000462,0.6971153846153805,16.10768900000005,16.63266800000008,1933,1996,False,False,3P,S1
5,16.63266800000008,1.347511431352522,0.0673369254,1.6582669999999098,0.5583110000000033,1.0999559999999065,0.6633165829145525,17.732623999999987,18.29093499999999,2128,2195,False,False,3P,S1
6,18.29093499999999,0.1256246755504695,,1.2082850000000462,0.0416649999999663,1.16662000000008,0.9655172413793396,19.45755500000007,19.49922000000004,2335,2340,True,True,3P,S1
7,19.49922000000004,1.2630517152468397,0.063061702,5.291455000000042,0.5083130000000438,4.783141999999998,0.9039370078740082,24.282362000000035,24.79067500000008,2914,2975,True,True,3P,S1
8,24.79067500000008,1.306131506620259,0.0597290616,1.5582709999999906,0.4916470000000572,1.0666239999999334,0.684491978609587,25.85729900000001,26.34894600000007,3103,3162,False,False,3P,S1
9,26.34894600000007,1.3347108211048306,0.0625876825,1.6082689999999502,0.5416450000000168,1.0666239999999334,0.6632124352331398,27.41557,27.95721500000002,3290,3355,False,False,3P,S1
10,27.95721500000002,0.4321566551990728,0.0439603711,1.5249390000000176,0.3416529999999511,1.1832860000000665,0.7759562841530401,29.14050100000009,29.48215400000004,3497,3538,True,True,3P,S1
11,29.48215400000004,1.8283855124734132,0.0670379606,3.9748409999999694,0.4833139999999503,3.491527000000019,0.8784067085953994,32.973681000000056,33.456995000000006,3957,4015,True,True,3P,S1
12,33.456995000000006,1.3509149859462493,0.0644421214,1.5916030000000774,0.5083130000000438,1.0832900000000336,0.680628272251297,34.54028500000004,35.048598000000084,4145,4206,False,False,3P,S1
13,35.048598000000084,1.3432441185587678,0.0640304671,1.6582669999999098,0.5333119999999099,1.124955,0.6783919597990319,36.17355300000008,36.70686499999999,4341,4405,False,False,3P,S1
14,36.70686499999999,1.4902377781322758,0.0624008235,4.733144000000038,0.5333120000000235,4.199832000000015,0.8873239436619678,40.90669700000001,41.44000900000003,4909,4973,True,True,3P,S1
15,41.44000900000003,1.2923216552571155,0.0646909678,1.566603999999984,0.474980999999957,1.0916230000000269,0.6968085106383222,42.53163200000006,43.006613000000016,5104,5161,False,False,3P,S1
16,43.006613000000016,1.30749101425772,0.0663920294,1.6166020000000572,0.5416450000000168,1.0749570000000404,0.6649484536082488,44.081570000000056,44.62321500000007,5290,5355,False,False,3P,S1
17,44.62321500000007,0.4320276356267655,0.0472905712,1.433275999999978,0.2916549999999915,1.1416209999999865,0.7965116279069795,45.76483600000006,46.05649100000005,5492,5527,True,True,3P,S1
18,46.05649100000005,1.6133269417178062,0.0674399505,3.8748449999999366,0.4583149999999705,3.416529999999966,0.8817204301075325,49.47302100000002,49.93133599999999,5937,5992,True,True,3P,S1
19,49.93133599999999,1.300464948325052,0.0655276006,1.6249350000000504,0.5249790000000303,1.09995600000002,0.6769230769230683,51.03129200000001,51.55627100000004,6124,6187,False,False,3P,S1
20,51.55627100000004,1.3224904007162412,0.0630216904,1.6166019999999437,0.5166459999999233,1.09995600000002,0.6804123711340568,52.65622700000006,53.17287299999998,6319,6381,False,False,3P,S1
21,53.17287299999998,0.4151266938878309,0.0428713708,1.4582750000000717,0.3166539999999713,1.1416210000001,0.7828571428571731,54.31449400000008,54.63114800000005,6518,6556,True,True,3P,S1
22,54.63114800000005,1.662866943434796,0.0616490429,3.816513999999984,0.516646000000037,3.2998679999999467,0.8646288209606884,57.931016,58.44766200000004,6952,7014,True,True,3P,S1
23,58.44766200000004,1.3495519667986164,0.0603827069,1.5916029999999637,0.4916469999999435,1.09995600000002,0.691099476439819,59.54761800000006,60.039265,7146,7205,False,False,3P,S1
24,60.039265,1.3509334017385342,0.0599557134,1.708264999999983,0.6083089999999629,1.09995600000002,0.6439024390244085,61.13922100000002,61.74752999999998,7337,7410,False,False,3P,S1
25,61.74752999999998,1.5168351047739288,0.0638720121,4.558151000000066,0.5083130000000438,4.049838000000023,0.8884826325411255,65.797368,66.30568100000005,7896,7957,True,True,3P,S1
26,66.30568100000005,1.3975687858990036,0.0702229859,1.5749369999999772,0.516646000000037,1.05829099999994,0.6719576719576437,67.36397199999999,67.88061800000003,8084,8146,False,False,3P,S1
27,67.88061800000003,1.3880272130691005,0.065831137,1.6499340000000302,0.5666439999999966,1.0832900000000336,0.6565656565656649,68.96390800000006,69.53055200000006,8276,8344,False,False,3P,S1
