stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step,method,subject
0,3.6748529999999846,1.3122655360187,0.0683475895,1.224950999999919,0.5499779999997827,0.6749730000001364,0.551020408163413,4.349826000000121,4.899803999999904,522,588,False,False,1P,S2
1,4.899803999999904,1.3226465380141106,0.0694290629,1.2166180000001532,0.5583110000000033,0.6583070000001499,0.5410958904110139,5.5581110000000535,6.116422000000057,667,734,False,False,1P,S2
2,6.116422000000057,1.304692875849062,0.0659793436,1.224950999999919,0.5833099999999831,0.641640999999936,0.5238095238095062,6.758062999999993,7.341372999999976,811,881,False,False,1P,S2
3,7.341372999999976,1.3418353148145816,0.0639371068,1.2499500000001262,0.5833099999999831,0.6666400000001431,0.5333333333333939,8.008013000000119,8.591323000000102,961,1031,False,False,1P,S2
4,8.591323000000102,1.273446497140189,0.0631791886,1.1832859999999528,0.5583110000000033,0.6249749999999494,0.5281690140844854,9.216298000000052,9.774609000000057,1106,1173,False,False,1P,S2
5,9.774609000000057,1.3278853448420522,0.0620778551,1.224950999999919,0.5999759999999696,0.6249749999999494,0.5102040816326455,10.399584000000004,10.999559999999974,1248,1320,False,False,1P,S2
6,10.999559999999974,1.2653121209869076,0.0623004208,1.1832859999999528,0.5666439999999966,0.6166419999999562,0.521126760563364,11.61620199999993,12.182845999999929,1394,1462,False,False,1P,S2
7,12.182845999999929,1.3005683122740024,0.0595045943,1.18328600000018,0.5333120000000235,0.6499740000001566,0.549295774647936,12.832820000000083,13.366132000000109,1540,1604,False,False,1P,S2
8,13.366132000000109,1.320941156772648,0.0580434661,1.1999519999999393,0.5499780000000101,0.6499739999999292,0.5416666666666351,14.016106000000036,14.566084000000046,1682,1748,False,False,1P,S2
9,14.566084000000046,1.3094889476676734,0.0685243737,1.2416169999999056,0.5749769999999899,0.6666399999999157,0.5369127516778253,15.232723999999962,15.807700999999952,1828,1897,False,False,1P,S2
10,15.807700999999952,1.312532250041916,0.0659917787,1.2249510000001465,0.6083090000001903,0.6166419999999562,0.5034013605441218,16.424342999999908,17.0326520000001,1971,2044,False,False,1P,S2
11,17.0326520000001,1.314195175697197,0.0672769968,1.1999519999999393,0.5916429999999764,0.6083089999999629,0.5069444444444392,17.64096100000006,18.23260400000004,2117,2188,False,False,1P,S2
12,18.23260400000004,1.2085273190450092,0.060347712,1.3166140000000723,0.6083090000001903,0.7083049999998821,0.5379746835441847,18.94090899999992,19.54921800000011,2273,2346,True,True,1P,S2
13,19.54921800000011,1.272386800990429,0.062544931,2.566563999999971,0.5833099999999831,1.983253999999988,0.7727272727272767,21.532472000000094,22.11578200000008,2584,2654,True,True,1P,S2
14,22.11578200000008,1.3460599105767668,0.061991075,1.2082849999999326,0.5666439999999966,0.641640999999936,0.5310344827585973,22.757423000000017,23.324067000000014,2731,2799,False,False,1P,S2
15,23.324067000000014,1.3265803954355313,0.0618339308,1.158286999999973,0.5749769999999899,0.5833099999999831,0.5035971223021555,23.907377,24.482353999999987,2868,2936,False,False,1P,S2
16,24.482353999999987,1.3688348080377728,0.0636624466,1.1666199999999662,0.5416450000000168,0.6249749999999494,0.5357142857142578,25.107328999999936,25.648973999999956,3010,3075,False,False,1P,S2
17,25.648973999999956,1.3771367973122497,0.0736979003,1.2166180000001532,0.6166420000001835,0.5999759999999696,0.4931506849314198,26.248949999999923,26.865592000000103,3147,3221,True,False,1P,S2
18,26.865592000000103,1.3160256607958238,0.0683969481,1.191618999999946,0.5833099999999831,0.6083089999999629,0.5104895104895025,27.47390100000007,28.05721100000005,3294,3364,False,False,1P,S2
19,28.05721100000005,1.3426249265786512,0.0737895348,1.1749529999999595,0.5916429999999764,0.5833099999999831,0.4964539007092226,28.640521000000035,29.23216400000001,3434,3505,True,False,1P,S2
20,29.23216400000001,1.3602039713488154,0.0679851854,1.1999519999999393,0.5999759999999696,0.5999759999999696,0.5,29.83213999999998,30.43211599999995,3577,3649,False,False,1P,S2
21,30.43211599999995,1.348061424732447,0.0657730778,1.2582830000001195,0.6249749999999494,0.6333080000001701,0.5033112582782331,31.06542400000012,31.69039900000007,3725,3800,False,False,1P,S2
22,31.69039900000007,1.3245164868245298,0.0602600048,1.2749489999998789,0.6083089999999629,0.6666399999999157,0.5228758169934478,32.357038999999986,32.96534799999995,3880,3953,False,False,1P,S2
23,32.96534799999995,1.3114852762765352,0.0647012207,1.2582830000001195,0.5749769999999899,0.6833060000001296,0.5430463576159456,33.64865400000008,34.22363100000007,4035,4104,False,False,1P,S2
