stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step
0,2.7832220000000234,1.2670182141265156,0.0668803764,1.2666159999998854,0.4499819999996362,0.8166340000002492,0.6447368421055183,3.5998560000002726,4.049837999999909,432,486,False,False
1,4.049837999999909,1.1589955176017457,0.06800340590000001,1.2832820000003267,0.41665000000011787,0.8666320000002088,0.6753246753246661,4.916470000000118,5.3331200000002354,590,640,False,False
2,5.3331200000002354,1.2363269633942984,0.0623480483,1.316613999999845,0.4583149999998568,0.8582989999999882,0.651898734177283,6.191419000000224,6.64973400000008,743,798,False,False
3,6.64973400000008,1.2572237693051294,0.0655061781,1.283281999999872,0.40831699999989723,0.8749649999999747,0.6818181818182302,7.524699000000055,7.933015999999952,903,952,False,False
4,7.933015999999952,1.251333899952618,0.06124204900000001,1.274949000000106,0.4416489999998703,0.8333000000002357,0.6535947712419606,8.766316000000188,9.207965000000058,1052,1105,False,False
5,9.207965000000058,1.2216471627819232,0.0616475825,1.2166179999999258,0.40831699999989723,0.8083010000000286,0.6643835616438997,10.016266000000087,10.424582999999984,1202,1251,False,False
6,10.424582999999984,1.2001208695831316,0.0608826478,1.2916150000000926,0.4416489999998703,0.8499660000002223,0.6580645161291572,11.274549000000206,11.716198000000077,1353,1406,False,False
7,11.716198000000077,1.2331787081319785,0.056098465300000004,1.283281999999872,0.4583149999998568,0.8249670000000151,0.6428571428572188,12.541165000000092,12.999479999999949,1505,1560,False,False
8,12.999479999999949,1.236893720010683,0.0619187605,1.3416130000000521,0.49164699999982986,0.8499660000002223,0.6335403726709485,13.849446000000171,14.341093,1662,1721,False,False
9,14.341093,1.235130534296044,0.0603725484,1.3166140000002997,0.45831500000031156,0.8582989999999882,0.6518987341770578,15.199391999999989,15.6577070000003,1824,1879,False,False
10,15.6577070000003,1.226734813087362,0.056879914100000005,1.3249469999996109,0.4499819999996362,0.8749649999999747,0.6603773584907409,16.532672000000275,16.98265399999991,1984,2038,False,False
11,16.98265399999991,1.2136819188860501,0.058813406000000006,1.2499500000003536,0.45831500000031156,0.791635000000042,0.6333333333331878,17.774288999999953,18.232604000000265,2133,2188,False,False
12,18.232604000000265,1.2070196121251557,0.061918473800000005,1.3332799999998315,0.49164699999982986,0.8416330000000016,0.631250000000081,19.074237000000267,19.565884000000096,2289,2348,False,False
13,19.565884000000096,0.9182376835324301,0.0382527527,1.316613999999845,0.3999839999996766,0.9166300000001684,0.6962025316457795,20.482514000000265,20.88249799999994,2458,2506,True,True
14,20.88249799999994,0.6997886616902234,0.0494719849,2.79988800000001,0.4166499999996631,2.383238000000347,0.8511904761905971,23.265736000000288,23.68238599999995,2792,2842,True,True
15,23.68238599999995,1.2009277672399234,0.053537680600000005,1.4166100000002189,0.48331400000006397,0.9332960000001549,0.6588235294117722,24.615682000000106,25.09899600000017,2954,3012,False,False
16,25.09899600000017,1.2367536327644286,0.0557200136,1.283281999999872,0.47498099999984333,0.8083010000000286,0.629870129870215,25.9072970000002,26.382278000000042,3109,3166,False,False
17,26.382278000000042,1.2235685136747427,0.0606459566,1.274949000000106,0.48331400000006397,0.791635000000042,0.6209150326797199,27.173913000000084,27.657227000000148,3261,3319,False,False
18,27.657227000000148,1.1975095471028128,0.0591642178,1.3666119999998045,0.43331599999964965,0.9332960000001549,0.6829268292685037,28.590523000000303,29.023838999999953,3431,3483,False,False
19,29.023838999999953,1.2286696234892773,0.048676090500000005,1.3499460000002728,0.4249830000003385,0.9249629999999343,0.685185185184998,29.948801999999887,30.373785000000225,3594,3645,False,False
20,30.373785000000225,1.222531268649464,0.056499576600000004,1.3749450000000252,0.4749810000002981,0.8999639999997271,0.654545454545244,31.273748999999953,31.74873000000025,3753,3810,False,False
