stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step
0,2.649893999999904,1.434450632073513,0.07866987947322858,1.1082890000000134,0.46664799999985007,0.6416410000001633,0.578947368421193,3.291535000000067,3.7581829999999172,395,451,False,False
1,3.7581829999999172,1.4360466816948867,0.08313581738310384,1.0916230000000269,0.4749810000000707,0.6166419999999562,0.5648854961831521,4.374824999999873,4.849805999999944,525,582,False,False
2,4.849805999999944,1.4606181464061918,0.08449367700210976,1.1166220000000067,0.49164700000005723,0.6249749999999494,0.5597014925372648,5.4747809999998935,5.966427999999951,657,716,False,False
3,5.966427999999951,1.4416560332149722,0.07581501430148596,1.1166220000000067,0.4749810000000707,0.641640999999936,0.574626865671581,6.608068999999887,7.083049999999957,793,850,False,False
4,7.083049999999957,1.4074700044825499,0.07431876744052009,1.0832900000000336,0.4499820000000909,0.6333079999999427,0.5846153846153136,7.7163579999999,8.166339999999991,926,980,False,False
5,8.166339999999991,1.4786770898126382,0.07909288190067991,1.1332879999999932,0.48331400000006397,0.6499739999999292,0.5735294117646469,8.81631399999992,9.299627999999984,1058,1116,False,False
6,9.299627999999984,1.424014984085225,0.07673299146532006,1.0666239999998197,0.46664799999985007,0.5999759999999696,0.5625000000000666,9.899603999999954,10.366251999999804,1188,1244,False,False
7,10.366251999999804,1.3989617657820408,0.07063981385055139,1.0916230000002543,0.4583150000000842,0.6333080000001701,0.5801526717557458,10.999559999999974,11.457875000000058,1320,1375,False,False
8,11.457875000000058,1.3908086736862821,0.06930511936210117,1.0999560000000201,0.4583150000000842,0.641640999999936,0.5833333333332644,12.099515999999994,12.557831000000078,1452,1507,False,False
9,12.557831000000078,1.3895748171426876,0.07406421459115778,1.0916229999997995,0.4583149999998568,0.6333079999999427,0.5801526717557792,13.191139000000021,13.649453999999878,1583,1638,False,False
10,13.649453999999878,1.3657513669923487,0.06640782947320406,1.0999560000000201,0.4499820000000909,0.6499739999999292,0.5909090909090158,14.299427999999807,14.749409999999898,1716,1770,False,False
11,14.749409999999898,0.9076751522394927,0.046575994468033136,1.0749570000000404,0.4083170000001246,0.6666399999999157,0.6201550387595882,15.416049999999814,15.824366999999938,1850,1899,True,True
12,15.824366999999938,0.2679918991919902,,2.9498819999998886,0.05833099999995284,2.891550999999936,0.9802259887005802,18.715917999999874,18.774248999999827,2246,2253,True,True
13,18.774248999999827,2.533209972177576,0.06668011147060202,1.516606000000138,0.49164700000005723,1.0249590000000808,0.6758241758241675,19.799207999999908,20.290854999999965,2376,2435,True,True
14,20.290854999999965,1.3634506604404624,0.06921284518615445,1.04162499999984,0.44998199999986355,0.5916429999999764,0.5680000000000646,20.88249799999994,21.332479999999805,2506,2560,False,False
15,21.332479999999805,1.3698825773276293,0.06639215460742821,1.0916230000002543,0.46664800000007745,0.6249750000001768,0.5725190839694942,21.95745499999998,22.42410300000006,2635,2691,False,False
16,22.42410300000006,1.3389769764330928,0.0662943231233736,1.074956999999813,0.44998199999986355,0.6249749999999494,0.5813953488372634,23.04907800000001,23.499059999999872,2766,2820,False,False
17,23.499059999999872,1.3467685789731607,0.06697748619226142,1.1166220000000067,0.4416489999998703,0.6749730000001364,0.604477611940417,24.17403300000001,24.61568199999988,2901,2954,False,False
18,24.61568199999988,1.3440784899709894,0.06231576701675309,1.0999560000000201,0.4583150000000842,0.641640999999936,0.5833333333332644,25.257322999999815,25.7156379999999,3031,3086,False,False
19,25.7156379999999,1.3802910079177018,0.06761186301187275,1.124955,0.4833139999998366,0.6416410000001633,0.5703703703705156,26.357279000000062,26.8405929999999,3163,3221,False,False
20,26.8405929999999,1.2753763103708418,0.0618722415240312,1.0749570000000404,0.44998199999986355,0.6249750000001768,0.581395348837352,27.465568000000076,27.91554999999994,3296,3350,False,False
21,27.91554999999994,1.3000300876335598,0.0656019201587657,1.124955,0.44998199999986355,0.6749730000001364,0.6000000000001213,28.590523000000076,29.04050499999994,3431,3485,False,False
22,29.04050499999994,1.3055354875300973,0.06354664679730762,1.1416209999999865,0.46664799999985007,0.6749730000001364,0.5912408759125353,29.715478000000076,30.182125999999926,3566,3622,False,False
23,30.182125999999926,1.3279049660726683,0.06867121651240043,1.1332879999999932,0.46664799999985007,0.6666400000001431,0.5882352941177769,30.84876600000007,31.31541399999992,3702,3758,False,False
24,31.31541399999992,1.3131103390997894,0.07182034469198162,1.158286999999973,0.4583150000000842,0.6999719999998888,0.604316546762508,32.01538599999981,32.47370099999989,3842,3897,False,False
25,32.47370099999989,0.9027285902861301,0.04334038490292272,1.1166220000000067,0.38331799999991745,0.7333040000000892,0.6567164179105237,33.20700499999998,33.5903229999999,3985,4031,True,True
26,33.5903229999999,1.4227522029851094,0.06266553118850837,3.98317400000019,0.46664800000007745,3.5165260000001126,0.882845188284505,37.10684900000001,37.57349700000009,4453,4509,True,True
27,37.57349700000009,1.288699149280138,0.0625769719735634,1.1166219999997793,0.39998399999990397,0.7166379999998753,0.6417910447761346,38.290134999999964,38.69011899999987,4595,4643,False,False
28,38.69011899999987,1.2958156075969358,0.06419318085943548,1.1166220000000067,0.433315999999877,0.6833060000001296,0.6119402985075751,39.373425,39.806740999999874,4725,4777,False,False
29,39.806740999999874,1.2854597807284358,0.06549825758187242,1.124955,0.44998199999986355,0.6749730000001364,0.6000000000001213,40.48171400000001,40.931695999999874,4858,4912,False,False
30,40.931695999999874,1.2996697865617886,0.06445628821515362,1.1166220000000067,0.40831699999989723,0.7083050000001094,0.6343283582090494,41.640000999999984,42.04831799999988,4997,5046,False,False
31,42.04831799999988,1.3272148033655387,0.06552301579470535,1.1082890000000134,0.433315999999877,0.6749730000001364,0.6090225563910932,42.72329100000002,43.156606999999894,5127,5179,False,False
32,43.156606999999894,1.319174909642344,0.06792582883664379,1.0999560000000201,0.4583149999998568,0.6416410000001633,0.5833333333334711,43.79824800000006,44.256562999999915,5256,5311,False,False
33,44.256562999999915,1.3296905045638596,0.06311595525517932,1.1082890000000134,0.4583149999998568,0.6499740000001566,0.586466165413668,44.90653700000007,45.36485199999993,5389,5444,False,False
34,45.36485199999993,1.343087942263884,0.06938197592965714,1.1082890000000134,0.4583149999998568,0.6499740000001566,0.586466165413668,46.014826000000085,46.47314099999994,5522,5577,False,False
35,46.47314099999994,1.3998947535276955,0.07448757522095378,1.1416209999999865,0.5083130000000438,0.6333079999999427,0.5547445255474016,47.106448999999884,47.61476199999993,5653,5714,False,False
36,47.61476199999993,1.3729060014456833,0.07423895895051155,1.0999560000000201,0.48331400000006397,0.6166419999999562,0.5606060606060105,48.231403999999884,48.71471799999995,5788,5846,False,False
