sep=,
DeviceTag:,RF-3
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
StartTime: ,2022-08-02_15:50:18_000 CEST
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,756471351,-29.50223731994629,-27.00869941711426,66.05461120605469,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,756479684,-29.54040718078613,-27.02742958068848,66.04010009765625,4.28064584732056,-3.75820589065552,8.05921840667725,-4.74900770187378,-3.05606007575989,-3.29465675354004
2,756488017,-29.59783935546875,-27.04178237915039,66.03708648681641,4.27681159973145,-4.45435714721680,7.90993881225586,-6.35532760620117,-3.13387632369995,-1.84158682823181
3,756496350,-29.67487144470215,-27.03742408752441,66.05017852783203,4.50680685043335,-4.76883602142334,7.72630453109741,-7.90770292282104,-2.10310792922974,0.63230019807816
4,756504683,-29.75236511230469,-27.01077842712402,66.07223510742188,4.73180246353149,-4.68959140777588,7.76983547210693,-7.47438859939575,-0.25642412900925,2.78632974624634
5,756513016,-29.82982444763184,-26.94482231140137,66.08169555664062,4.74844503402710,-4.42107582092285,7.87732172012329,-8.08067703247070,4.57112979888916,4.10138988494873
6,756521349,-29.89784812927246,-26.84322357177734,66.06416320800781,4.49807500839233,-4.38907241821289,7.79514026641846,-8.48960876464844,9.64533615112305,3.60229635238647
7,756529682,-29.94722747802734,-26.72764778137207,66.02658843994141,4.26775646209717,-4.62842702865601,7.61963796615601,-7.25643682479858,12.23449897766113,2.71863079071045
8,756538015,-29.97433280944824,-26.61600303649902,65.98451232910156,4.11134099960327,-4.85296058654785,7.53392314910889,-4.81885719299316,12.06485557556152,2.07092380523682
9,756546348,-29.97379684448242,-26.52420234680176,65.94735717773438,4.13507270812988,-4.84760665893555,7.62131595611572,-1.30448186397552,9.67288398742676,1.20607197284698
10,756554681,-29.94528770446777,-26.46460914611816,65.91654205322266,4.13393926620483,-4.72610330581665,7.73398160934448,2.47264432907104,6.05323266983032,-0.00649320846424
11,756563014,-29.89703941345215,-26.43605232238770,65.89225769042969,4.11788415908813,-4.57675552368164,7.89977836608887,5.11807012557983,2.40664935112000,-1.39187753200531
12,756571347,-29.84510612487793,-26.43042755126953,65.87274932861328,4.13774728775024,-4.47261476516724,7.83246183395386,5.81639099121094,-0.23413974046707,-2.32397961616516
13,756579680,-29.79758262634277,-26.43554878234863,65.86068725585938,4.26492977142334,-4.40109014511108,7.89734315872192,5.75965547561646,-1.68449473381042,-2.14175963401794
14,756588013,-29.76014137268066,-26.43723297119141,65.85252380371094,4.41313123703003,-4.36575222015381,7.95272541046143,4.75883007049561,-1.53370356559753,-1.57122850418091
15,756596346,-29.73264312744141,-26.42466735839844,65.84387207031250,4.48235845565796,-4.37259054183960,8.00225448608398,3.46282720565796,-0.09508004784584,-0.90402889251709
16,756604679,-29.71426963806152,-26.39608001708984,65.83470153808594,4.47756290435791,-4.41654968261719,7.98059415817261,2.41799664497375,1.67277622222900,0.13400088250637
17,756613012,-29.70489311218262,-26.35422706604004,65.82443237304688,4.38072443008423,-4.48117542266846,7.96765041351318,1.20531618595123,3.04469990730286,0.69105923175812
18,756621345,-29.70494651794434,-26.30353546142578,65.81326293945312,4.29253101348877,-4.50530195236206,7.93010330200195,0.02688213996589,4.01658058166504,1.12819170951843
19,756629678,-29.71013450622559,-26.25291061401367,65.79633331298828,4.24174547195435,-4.53559160232544,7.94461441040039,-0.81957876682281,4.38378715515137,0.71718585491180
20,756638011,-29.71874046325684,-26.20877265930176,65.77816772460938,4.16107749938965,-4.53711509704590,7.92755842208862,-1.29733526706696,3.77434730529785,0.21535167098045
21,756646344,-29.72336769104004,-26.17491340637207,65.76334381103516,4.15675020217896,-4.53191995620728,7.89621543884277,-0.71020591259003,2.45641803741455,-0.21293115615845
22,756654677,-29.72552299499512,-26.15322875976562,65.75105285644531,4.16010761260986,-4.53527450561523,7.90010023117065,-0.20842304825783,1.12186515331268,-0.57078772783279
23,756663010,-29.72265434265137,-26.13895034790039,65.74028778076172,4.13465785980225,-4.52783536911011,7.89685297012329,0.40005591511726,0.19913786649704,-1.00515377521515
24,756671343,-29.71359062194824,-26.12974166870117,65.73050689697266,4.19451618194580,-4.51514244079590,7.85568571090698,1.19709408283234,-0.38236933946609,-1.21027255058289
25,756679676,-29.69890594482422,-26.12396621704102,65.71978759765625,4.24913501739502,-4.55558109283447,7.83732509613037,1.89869379997253,-0.62014627456665,-1.37220585346222
26,756688009,-29.67920112609863,-26.11731147766113,65.70717620849609,4.29639196395874,-4.54551029205322,7.84683036804199,2.39999008178711,-0.42885911464691,-1.49325871467590
27,756696342,-29.65366935729980,-26.10519790649414,65.69176483154297,4.26878309249878,-4.50257396697998,7.92801713943481,2.87679862976074,0.22019279003143,-1.56354403495789
28,756704675,-29.62779998779297,-26.09093284606934,65.67565155029297,4.27082872390747,-4.45886659622192,7.92360544204712,2.95484542846680,0.55176901817322,-1.37148869037628
29,756713008,-29.60606002807617,-26.07501220703125,65.66233825683594,4.25595808029175,-4.41716575622559,7.99209022521973,2.53566837310791,0.50561213493347,-1.14736402034760
30,756721341,-29.59148406982422,-26.05986213684082,65.65206146240234,4.24888372421265,-4.41125869750977,8.01681327819824,1.83417153358459,0.26424929499626,-0.90600115060806
31,756729674,-29.58429145812988,-26.04885292053223,65.64543151855469,4.20307493209839,-4.41890430450439,7.97817420959473,1.21581804752350,-0.29356473684311,-0.67926388978958
32,756738007,-29.58576393127441,-26.04427719116211,65.64234161376953,4.21386146545410,-4.42077159881592,8.00222206115723,0.36020016670227,-1.15335774421692,-0.73167055845261
33,756746340,-29.59299659729004,-26.04415321350098,65.64379119873047,4.24169826507568,-4.45178461074829,7.99122428894043,-0.16549356281757,-1.92759919166565,-0.70042115449905
34,756754673,-29.60174369812012,-26.04706382751465,65.64567565917969,4.26074314117432,-4.47984695434570,7.90981197357178,-0.24950827658176,-2.19931507110596,-0.70695298910141
35,756763006,-29.60982322692871,-26.04971313476562,65.64733886718750,4.20919084548950,-4.50865554809570,7.92466449737549,-0.25265884399414,-2.23010349273682,-0.84455263614655
36,756771339,-29.61641693115234,-26.05086135864258,65.64758300781250,4.21911382675171,-4.50036621093750,7.88989686965942,-0.15378788113594,-2.00016427040100,-0.89137536287308
37,756779672,-29.62027740478516,-26.05307197570801,65.64719390869141,4.19430160522461,-4.49241495132446,7.86625528335571,0.21852786839008,-2.00546669960022,-0.87885004281998
38,756788005,-29.62069320678711,-26.05847740173340,65.64470672607422,4.19785499572754,-4.48396635055542,7.90221881866455,0.51967442035675,-2.22569799423218,-1.26626527309418
39,756796338,-29.61689949035645,-26.06410026550293,65.64305114746094,4.18881034851074,-4.50855827331543,7.87389183044434,0.99694442749023,-2.36496233940125,-1.33360528945923
40,756804671,-29.61079216003418,-26.07301712036133,65.64018249511719,4.21061658859253,-4.48192071914673,7.89005756378174,1.28290188312531,-2.57302689552307,-1.50716722011566
41,756813004,-29.60227966308594,-26.08283805847168,65.63922882080078,4.23323678970337,-4.42962598800659,7.90483045578003,1.59875094890594,-2.83785247802734,-1.51690065860748
42,756821337,-29.59657669067383,-26.09362602233887,65.63783264160156,4.23806905746460,-4.42980813980103,7.98523807525635,1.31256318092346,-2.84745764732361,-1.48055422306061
43,756829670,-29.59523773193359,-26.10357856750488,65.64089965820312,4.29263401031494,-4.48008489608765,7.93065166473389,0.94750893115997,-3.06553697586060,-1.14669811725616
44,756838003,-29.59646606445312,-26.11237335205078,65.64467620849609,4.29040050506592,-4.48016881942749,7.91920185089111,0.67850828170776,-2.98644042015076,-1.01263308525085
45,756846336,-29.60019683837891,-26.11938285827637,65.64831542968750,4.26024532318115,-4.45075654983521,7.91569423675537,0.44572615623474,-2.71920728683472,-0.78763771057129
46,756854669,-29.60507011413574,-26.12577629089355,65.65199279785156,4.24811887741089,-4.42595052719116,7.95002365112305,0.31253209710121,-2.65850138664246,-0.74637317657471
47,756863002,-29.61295509338379,-26.12922286987305,65.65631866455078,4.23813343048096,-4.42355775833130,7.98471117019653,-0.09241615235806,-2.45632839202881,-0.63843482732773
48,756871335,-29.62347412109375,-26.13544464111328,65.66253662109375,4.22752523422241,-4.47406148910522,7.96244287490845,-0.23124533891678,-2.77455997467041,-0.49778702855110
49,756879668,-29.63698959350586,-26.14485931396484,65.67364501953125,4.17158365249634,-4.50662326812744,7.96718740463257,-0.40752249956131,-3.43947958946228,-0.36190351843834
50,756888001,-29.65260124206543,-26.16183662414551,65.68737030029297,4.14890670776367,-4.47344923019409,7.93526697158813,-0.52032762765884,-4.36753463745117,-0.56676620244980
51,756896334,-29.66867828369141,-26.18854141235352,65.70010375976562,4.17567682266235,-4.50215530395508,7.90115308761597,-0.55549591779709,-5.25988388061523,-1.10540795326233
52,756904667,-29.68590545654297,-26.22005462646484,65.71231842041016,4.22878122329712,-4.56885814666748,7.91480779647827,-0.71863299608231,-5.73149251937866,-1.44172286987305
53,756913000,-29.70133399963379,-26.25523757934570,65.72475433349609,4.27020215988159,-4.58799314498901,7.91454792022705,-0.56433278322220,-6.19864463806152,-1.77219760417938
54,756921333,-29.71529579162598,-26.29222869873047,65.73575592041016,4.29264974594116,-4.58769035339355,7.85326290130615,-0.38941320776939,-6.23780918121338,-1.88305604457855
55,756929666,-29.72485351562500,-26.33046531677246,65.74462127685547,4.29388141632080,-4.55423069000244,7.85835552215576,-0.04718142375350,-6.32499980926514,-2.29070663452148
56,756937999,-29.73231887817383,-26.36732864379883,65.75254821777344,4.29658079147339,-4.51276922225952,7.83992576599121,0.15323716402054,-6.13166427612305,-2.30143904685974
57,756946332,-29.74000930786133,-26.40607452392578,65.75953674316406,4.29334020614624,-4.51261615753174,7.87338209152222,0.15187959372997,-6.20653343200684,-2.36393761634827
58,756954665,-29.74752235412598,-26.44363784790039,65.76590728759766,4.30279731750488,-4.50827550888062,7.84349632263184,0.13886757194996,-6.04859638214111,-2.35371756553650
59,756962998,-29.75285148620605,-26.47757339477539,65.77249908447266,4.30358839035034,-4.47227573394775,7.85781764984131,0.34119442105293,-5.75239372253418,-2.24972391128540
60,756971331,-29.75757408142090,-26.51250457763672,65.77817535400391,4.30250978469849,-4.44777059555054,7.90652084350586,0.43865659832954,-5.73866462707520,-2.26145529747009
61,756979664,-29.76387786865234,-26.54613876342773,65.78511047363281,4.31755781173706,-4.43424081802368,7.90097188949585,0.24234908819199,-5.73856258392334,-2.19964814186096
