sep=,
DeviceTag:,RF-3
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
StartTime: ,2022-08-02_16:00:26_000 CEST
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1365172002,-7.64082431793213,-23.88032341003418,-89.72679901123047,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1365180335,-7.64230918884277,-23.88322448730469,-89.72716522216797,4.06358146667480,-1.23410165309906,9.15462875366211,0.54286813735962,-2.13490796089172,-0.75916755199432
2,1365188668,-7.64216470718384,-23.88624382019043,-89.72945404052734,4.06299352645874,-1.22452139854431,9.17920112609863,0.65882384777069,-2.13209080696106,-0.93070614337921
3,1365197001,-7.64348888397217,-23.89096260070801,-89.73072052001953,4.07871246337891,-1.24494123458862,9.17087078094482,0.55462509393692,-2.35521602630615,-0.79553967714310
4,1365205334,-7.64499235153198,-23.89442253112793,-89.73192596435547,4.06213378906250,-1.23689961433411,9.13515281677246,0.49822250008583,-2.18841624259949,-0.86049747467041
5,1365213667,-7.64566946029663,-23.89771461486816,-89.73235321044922,4.06260585784912,-1.23927259445190,9.13465023040771,0.63628321886063,-2.18096256256104,-0.77217960357666
6,1365222000,-7.64642095565796,-23.90063476562500,-89.73384094238281,4.06140327453613,-1.23985695838928,9.15128231048584,0.60001343488693,-2.13565087318420,-0.82079529762268
7,1365230333,-7.64659404754639,-23.90329551696777,-89.73450469970703,4.07183122634888,-1.22491276264191,9.16146087646484,0.68343901634216,-2.10104608535767,-0.78905928134918
8,1365238666,-7.64679384231567,-23.90563774108887,-89.73588562011719,4.08630275726318,-1.22715973854065,9.15534973144531,0.66991460323334,-2.06723499298096,-0.80112349987030
9,1365246999,-7.64597702026367,-23.90962982177734,-89.73618316650391,4.05643129348755,-1.23316824436188,9.17361545562744,0.78018403053284,-2.25977754592896,-0.85747498273849
10,1365255332,-7.64545679092407,-23.91405296325684,-89.73788452148438,4.08090400695801,-1.23220491409302,9.14749240875244,0.71763408184052,-2.29661083221436,-0.92817032337189
11,1365263665,-7.64506673812866,-23.91788101196289,-89.73954772949219,4.09009790420532,-1.22185826301575,9.13202571868896,0.70203489065170,-2.22547984123230,-0.91736102104187
12,1365271998,-7.64407730102539,-23.92176818847656,-89.74145507812500,4.08864307403564,-1.24516630172729,9.14444732666016,0.77342182397842,-2.23931169509888,-0.91733539104462
13,1365280331,-7.64287233352661,-23.92411804199219,-89.74221038818359,4.07743549346924,-1.22700464725494,9.15097999572754,0.84475743770599,-2.06390547752380,-0.79472005367279
14,1365288664,-7.64284324645996,-23.92696762084961,-89.74099731445312,4.06922769546509,-1.20727229118347,9.13582515716553,0.70375108718872,-2.12924718856812,-0.79735833406448
15,1365296997,-7.64291000366211,-23.92992401123047,-89.74243164062500,4.07990550994873,-1.21913647651672,9.14263343811035,0.69063657522202,-2.14248967170715,-0.80135416984558
16,1365305330,-7.64366054534912,-23.93218994140625,-89.74365997314453,4.08802509307861,-1.24324083328247,9.12940025329590,0.58695018291473,-2.04597520828247,-0.84538501501083
17,1365313663,-7.64518213272095,-23.93526840209961,-89.74444580078125,4.09540748596191,-1.22083842754364,9.15341854095459,0.51827836036682,-2.14986681938171,-0.80775767564774
18,1365321996,-7.64600515365601,-23.93672180175781,-89.74517059326172,4.08768129348755,-1.22125709056854,9.15136623382568,0.63338887691498,-1.97302627563477,-0.70084393024445
19,1365330329,-7.64652395248413,-23.93657493591309,-89.74676513671875,4.11751508712769,-1.24301743507385,9.15417766571045,0.59791308641434,-1.75522828102112,-0.84412992000580
20,1365338662,-7.64535856246948,-23.93701553344727,-89.74875640869141,4.09289073944092,-1.22028827667236,9.16881275177002,0.82201200723648,-1.83611798286438,-0.80099552869797
21,1365346995,-7.64515304565430,-23.93709754943848,-89.74885559082031,4.07663869857788,-1.19425308704376,9.15280723571777,0.75830936431885,-1.81070852279663,-0.68340057134628
22,1365355328,-7.64382362365723,-23.93750762939453,-89.74877166748047,4.08921337127686,-1.21627986431122,9.12603282928467,0.90203094482422,-1.84646630287170,-0.66954338550568
23,1365363661,-7.64303636550903,-23.93841171264648,-89.74715423583984,4.08434009552002,-1.22708702087402,9.16756725311279,0.91048365831375,-1.92553746700287,-0.51309156417847
24,1365371994,-7.64328908920288,-23.93826484680176,-89.73991394042969,4.07495689392090,-1.23537647724152,9.17637062072754,0.79498893022537,-1.81060612201691,-0.47008520364761
25,1365380327,-7.64335155487061,-23.93895530700684,-89.73856353759766,4.06829833984375,-1.21980476379395,9.12577152252197,0.79519391059875,-1.89690041542053,-0.53844964504242
26,1365388660,-7.64347505569458,-23.93918037414551,-89.73696899414062,4.07997894287109,-1.24097323417664,9.12769985198975,0.73776680231094,-1.83194255828857,-0.64374971389771
27,1365396993,-7.64447402954102,-23.94056320190430,-89.73619079589844,4.07462835311890,-1.23731529712677,9.14359188079834,0.65487921237946,-1.97025990486145,-0.61147582530975
28,1365405326,-7.64614772796631,-23.94215393066406,-89.73397064208984,4.07505893707275,-1.24921154975891,9.11073017120361,0.55734020471573,-1.99840986728668,-0.64526104927063
29,1365413659,-7.64745569229126,-23.94320869445801,-89.73131561279297,4.09189939498901,-1.23307466506958,9.14623641967773,0.56028586626053,-1.92018413543701,-0.73186272382736
30,1365421992,-7.64783287048340,-23.94305801391602,-89.73173522949219,4.08114624023438,-1.21337306499481,9.16111469268799,0.67206633090973,-1.77046883106232,-0.71818476915359
31,1365430325,-7.64871740341187,-23.94369316101074,-89.73196411132812,4.08079147338867,-1.24358594417572,9.14176464080811,0.61945462226868,-1.86803328990936,-0.70863056182861
32,1365438658,-7.64879703521729,-23.94303131103516,-89.73412322998047,4.08364248275757,-1.24535417556763,9.15345764160156,0.70687609910965,-1.71716558933258,-0.70829772949219
33,1365446991,-7.64840221405029,-23.94284057617188,-89.73541259765625,4.10579681396484,-1.24599039554596,9.15733718872070,0.72162979841232,-1.75325584411621,-0.81057524681091
34,1365455324,-7.64856529235840,-23.94188880920410,-89.73374176025391,4.08399009704590,-1.22618472576141,9.15212059020996,0.65636473894119,-1.66872894763947,-0.78916180133820
