stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step
0,3.891511000000264,0.7274896204114474,,6.033091999999897,0.09166300000015326,5.941428999999744,0.9848066298342285,9.832940000000008,9.924603000000161,1180,1191,True,False
1,9.924603000000161,0.39401781932331675,,2.8748849999999493,0.024998999999979787,2.8498859999999695,0.9913043478260938,12.77448900000013,12.79948800000011,1533,1536,True,False
2,12.79948800000011,0.5256150224411078,,2.8498859999999695,0.024998999999979787,2.8248869999999897,0.9912280701754456,15.6243750000001,15.64937400000008,1875,1878,True,False
3,15.64937400000008,0.5377720334417806,,2.8415529999999762,0.03333199999997305,2.808221000000003,0.988269794721417,18.457595000000083,18.490927000000056,2215,2219,True,False
4,18.490927000000056,0.43206207176254324,,2.8832179999999425,0.08332999999993262,2.79988800000001,0.9710982658959766,21.290815000000066,21.374145,2555,2565,True,False
5,21.374145,0.5203348866989739,,2.6998920000000908,0.024998999999979787,2.674893000000111,0.9907407407407486,24.04903800000011,24.07403700000009,2886,2889,True,False
6,24.07403700000009,0.5460334092693797,,2.733224000000064,0.024998999999979787,2.708225000000084,0.990853658536593,26.782262000000173,26.807261000000153,3213,3216,True,False
7,26.807261000000153,0.5509051109442168,,2.949882000000116,0.13332800000011957,2.8165539999999964,0.9548022598869669,29.62381500000015,29.75714300000027,3554,3570,True,False
8,29.75714300000027,0.5959913594517938,,2.9082169999999223,0.0166660000002139,2.8915509999997084,0.9942693409741383,32.64869399999998,32.66536000000019,3917,3919,True,False
9,32.66536000000019,1.0016907980808507,,2.7998879999997826,0.058330999999725464,2.741557000000057,0.9791666666667631,35.40691700000025,35.465247999999974,4248,4255,True,False
10,35.465247999999974,1.1196394199662063,,3.083210000000008,0.016665999999986525,3.0665440000000217,0.994594594594599,38.531791999999996,38.54845799999998,4623,4625,True,False
11,38.54845799999998,0.38461371723737836,,2.8748850000001767,0.04166499999996631,2.8332200000002103,0.9855072463768242,41.38167800000019,41.42334300000016,4965,4970,True,False
12,41.42334300000016,0.622619710642274,,8.099675999999818,0.04166499999996631,8.058010999999851,0.9948559670781933,49.48135400000001,49.52301899999998,5937,5942,True,True
13,49.52301899999998,0.2705471361003571,,2.7832220000000234,0.0666639999999461,2.7165580000000773,0.9760479041916363,52.239577000000054,52.306241,6268,6276,True,False
14,52.306241,0.39899955438052437,,2.808221000000003,0.01666599999975915,2.791555000000244,0.9940652818991955,55.097796000000244,55.114462,6611,6613,True,False
15,55.114462,0.5052562568324519,,2.8248869999999897,0.1333279999998922,2.6915590000000975,0.9528023598820439,57.8060210000001,57.93934899999999,6936,6952,True,False
16,57.93934899999999,0.44252656774131244,,2.674893000000111,0.016665999999986525,2.6582270000001245,0.9937694704049898,60.59757600000012,60.614242000000104,7271,7273,True,False
17,60.614242000000104,0.45742375484644976,,2.7832220000000234,0.024998999999979787,2.7582230000000436,0.9910179640718636,63.37246500000015,63.39746400000013,7604,7607,True,False
18,63.39746400000013,1.0874178905208622,,2.7582230000000436,0.024998999999979787,2.733224000000064,0.9909365558912462,66.13068800000019,66.15568700000017,7935,7938,True,False
19,66.15568700000017,0.39271535951813985,,2.8498859999999695,0.016665999999986525,2.833219999999983,0.9941520467836304,68.98890700000015,69.00557300000014,8278,8280,True,False
20,69.00557300000014,0.4811875906041012,,2.924882999999909,0.024998999999979787,2.899883999999929,0.9914529914529981,71.90545700000007,71.93045600000005,8628,8631,True,False
21,71.93045600000005,1.041244771185326,,2.641561000000138,0.12499500000012631,2.5165660000000116,0.952681388012573,74.44702200000006,74.57201700000019,8933,8948,True,False
22,74.57201700000019,0.44687815104988304,,2.749889999999823,0.05833099999995284,2.69155899999987,0.9787878787878945,77.26357600000006,77.32190700000001,9271,9278,True,False
23,77.32190700000001,1.0772835854098102,,3.774849000000131,0.8749649999999747,2.8998840000001564,0.7682119205298161,80.22179100000017,81.09675600000014,9626,9731,True,True
