stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step
0,3.32486700000004,1.4780912035241422,0.0701363369,1.3749450000000252,0.5999759999999696,0.7749690000000555,0.5636363636363937,4.099836000000096,4.699812000000065,492,564,False,False
1,4.699812000000065,1.4383645592275385,0.0730567148,1.3249470000000656,0.5833100000002105,0.7416369999998551,0.5597484276728188,5.4414489999999205,6.024759000000131,653,723,False,False
2,6.024759000000131,1.381786166503194,0.061866392000000006,1.2749489999998787,0.5499780000000101,0.7249709999998686,0.5686274509803432,6.74973,7.29970800000001,810,876,False,False
3,7.29970800000001,1.4462436320882026,0.0692869671,1.2832820000000993,0.5416450000000168,0.7416370000000825,0.5779220779220975,8.041345000000092,8.582990000000109,965,1030,False,False
4,8.582990000000109,1.4509951546876203,0.0769802747,1.2666159999998854,0.5333120000000235,0.7333039999998618,0.5789473684209959,9.31629399999997,9.849605999999994,1118,1182,False,False
5,9.849605999999994,1.4810575907356616,0.08116128880000001,1.2999480000000858,0.5333120000000235,0.7666360000000623,0.5897435897435988,10.616242000000057,11.14955400000008,1274,1338,False,False
6,11.14955400000008,1.492671255676977,0.0720188276,1.3416130000000521,0.5833100000002105,0.7583029999998416,0.5652173913042078,11.907856999999922,12.491167000000132,1429,1499,False,False
7,12.491167000000132,1.3020249436624352,0.0588001461,1.2999479999998584,0.5833099999999831,0.7166379999998753,0.5512820512820154,13.207805000000008,13.79111499999999,1585,1655,True,True
8,13.79111499999999,1.5463925467405533,0.0592226728,2.9665480000001025,0.5583110000000033,2.408237000000099,0.8117977528089941,16.19935200000009,16.757663000000093,1944,2011,True,True
9,16.757663000000093,1.4251507312180862,0.0684009332,1.3499460000000454,0.5749770000002172,0.7749689999998282,0.5740740740739275,17.53263199999992,18.10760900000014,2104,2173,False,False
10,18.10760900000014,1.4070788283977227,0.065031329,1.3416129999998248,0.5749769999999899,0.7666359999998349,0.571428571428523,18.874244999999974,19.449221999999963,2265,2334,False,False
11,19.449221999999963,1.3907013007258437,0.0631210597,1.2999480000000858,0.5666439999999966,0.7333040000000892,0.5641025641025955,20.182526000000053,20.74917000000005,2422,2490,False,False
12,20.74917000000005,1.4223412021347732,0.068273515,1.283281999999872,0.4833139999998366,0.7999680000000353,0.6233766233767131,21.549138000000085,22.03245199999992,2586,2644,False,False
13,22.03245199999992,1.4735417979595347,0.0729453048,1.2666160000001128,0.5416450000000168,0.724971000000096,0.5723684210526564,22.757423000000017,23.299068000000034,2731,2796,False,False
14,23.299068000000034,1.474125409723791,0.0686361779,1.308281000000079,0.5499780000000101,0.758303000000069,0.5796178343949222,24.057371000000103,24.607349000000113,2887,2953,False,False
15,24.607349000000113,1.4123404742230283,0.07178576860000001,1.2749489999998787,0.4583149999998568,0.8166340000000218,0.6405228758170716,25.423983000000135,25.88229799999999,3051,3106,False,False
16,25.88229799999999,1.4553512662712818,0.07191416910000001,1.3916110000000117,0.5833099999999831,0.8083010000000286,0.5808383233533091,26.69059900000002,27.273909000000003,3203,3273,False,False
17,27.273909000000003,1.210134148009624,0.0636686505,1.5166059999999106,0.6833059999999023,0.8333000000000084,0.5494505494505874,28.10720900000001,28.790514999999914,3373,3455,True,True
