sep=,
DeviceTag:,LF-3
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
StartTime: ,2022-09-15_12:39:54_000 CEST
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1145477350,8.85399818420410,-36.95018386840820,-13.57486629486084,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1145485683,8.86466121673584,-36.95705795288086,-13.58112812042236,5.67096185684204,1.26796758174896,7.42636489868164,1.85940122604370,-1.25386798381805,-0.46541064977646
2,1145494016,8.87465572357178,-36.96290206909180,-13.58808708190918,5.65540647506714,1.29371619224548,7.41620540618896,1.77669298648834,-1.12026417255402,-0.37148326635361
3,1145502349,8.88078689575195,-36.96640014648438,-13.59189128875732,5.64462423324585,1.29325556755066,7.42368125915527,1.49240052700043,-0.81624877452850,-0.29507598280907
4,1145510682,8.88619613647461,-36.96914672851562,-13.59570217132568,5.65460824966431,1.28224003314972,7.43742609024048,1.31586718559265,-0.73249024152756,-0.30941995978355
5,1145519015,8.89116859436035,-36.97304153442383,-13.59765434265137,5.64347887039185,1.28809106349945,7.42952919006348,1.30969429016113,-0.86153477430344,-0.22604562342167
6,1145527348,8.89588832855225,-36.97778701782227,-13.60111141204834,5.64847850799561,1.29301941394806,7.41028785705566,1.34757769107819,-0.95899689197540,-0.23851972818375
7,1145535681,8.90129756927490,-36.98305892944336,-13.60472774505615,5.63956499099731,1.27034056186676,7.41982936859131,1.41881072521210,-1.02467179298401,-0.24333523213863
8,1145544014,8.90841960906982,-36.98886871337891,-13.60814952850342,5.63020277023315,1.23747158050537,7.40729331970215,1.53748154640198,-1.09465003013611,-0.23152706027031
9,1145552347,8.91763114929199,-36.99708938598633,-13.61365222930908,5.64065456390381,1.23200905323029,7.41953468322754,1.73952662944794,-1.40158522129059,-0.36787161231041
10,1145560680,8.92914199829102,-37.00660705566406,-13.62080574035645,5.65897178649902,1.27477955818176,7.40505647659302,1.82810080051422,-1.58372807502747,-0.47235208749771
11,1145569013,8.94108390808105,-37.01619338989258,-13.62847137451172,5.66182947158813,1.24910938739777,7.39096069335938,1.85412466526031,-1.59510099887848,-0.50439554452896
12,1145577346,8.95312976837158,-37.02602005004883,-13.63602542877197,5.68329858779907,1.25652885437012,7.41448974609375,1.93091642856598,-1.62250828742981,-0.53077822923660
13,1145585679,8.96516704559326,-37.03580474853516,-13.64494705200195,5.69317913055420,1.22117924690247,7.40706682205200,1.83015000820160,-1.63754379749298,-0.66102659702301
14,1145594012,8.97709655761719,-37.04376983642578,-13.65232563018799,5.70777416229248,1.27301990985870,7.41820669174194,1.83327460289001,-1.40873169898987,-0.55559831857681
15,1145602345,8.98788547515869,-37.05035400390625,-13.65991401672363,5.70135641098022,1.29764163494110,7.41523504257202,1.77659046649933,-1.23775660991669,-0.59394282102585
16,1145610678,8.99672412872314,-37.05714035034180,-13.66695308685303,5.68228483200073,1.29912042617798,7.37529611587524,1.54496109485626,-1.25335586071014,-0.47245460748672
17,1145619011,9.00503063201904,-37.06256866455078,-13.67398738861084,5.66625261306763,1.30843174457550,7.38967323303223,1.45543920993805,-1.09787726402283,-0.53054767847061
18,1145627344,9.01084613800049,-37.06653976440430,-13.67950439453125,5.64422988891602,1.30783987045288,7.40590953826904,1.32980144023895,-0.89629340171814,-0.44663539528847
19,1145635677,9.01522636413574,-37.06985092163086,-13.68372344970703,5.65423631668091,1.31086575984955,7.41118955612183,1.25178050994873,-0.80180239677429,-0.33616119623184
20,1145644010,9.01905155181885,-37.07323455810547,-13.68776321411133,5.67599534988403,1.29265463352203,7.37513208389282,1.15623927116394,-0.80400520563126,-0.25509217381477
21,1145652343,9.02160549163818,-37.07723999023438,-13.69057464599609,5.64014530181885,1.26760542392731,7.42258358001709,1.13405752182007,-0.86299479007721,-0.18926358222961
22,1145660676,9.02625465393066,-37.08020401000977,-13.69517898559570,5.65909337997437,1.24014556407928,7.41761255264282,1.18882071971893,-0.76735121011734,-0.34873780608177
23,1145669009,9.03269004821777,-37.08374786376953,-13.70081901550293,5.66749095916748,1.27651071548462,7.37370824813843,1.37916004657745,-0.84347671270370,-0.37115025520325
24,1145677342,9.03899097442627,-37.08839035034180,-13.70556926727295,5.67923831939697,1.30553364753723,7.39176177978516,1.44388711452484,-0.96634817123413,-0.36146807670593
25,1145685675,9.04591083526611,-37.09328460693359,-13.71124172210693,5.66878795623779,1.26606225967407,7.39295196533203,1.44982981681824,-1.01063549518585,-0.44228103756905
26,1145694008,9.05472850799561,-37.09753036499023,-13.71837902069092,5.68916940689087,1.25479626655579,7.40413284301758,1.48896825313568,-0.96050804853439,-0.58774417638779
27,1145702341,9.06380271911621,-37.10210800170898,-13.72504615783691,5.66392374038696,1.26917600631714,7.41787528991699,1.63768446445465,-0.98876059055328,-0.54353404045105
28,1145710674,9.07364845275879,-37.10644531250000,-13.73205184936523,5.68316364288330,1.28822088241577,7.37177515029907,1.66127514839172,-0.96209627389908,-0.51812469959259
29,1145719007,9.08364200592041,-37.11039733886719,-13.74008083343506,5.68553066253662,1.28896439075470,7.38976573944092,1.60510313510895,-0.93376690149307,-0.62498730421066
30,1145727340,9.09089851379395,-37.11382675170898,-13.74645519256592,5.68037128448486,1.26949048042297,7.38044977188110,1.43945586681366,-0.84706270694733,-0.53656697273254
31,1145735673,9.09829998016357,-37.11604690551758,-13.75260353088379,5.66667556762695,1.28759026527405,7.37700653076172,1.47393286228180,-0.70193254947662,-0.53738671541214
32,1145744006,9.10708045959473,-37.11706542968750,-13.76163864135742,5.65678596496582,1.30175745487213,7.37133550643921,1.51529979705811,-0.57214516401291,-0.61000299453735
33,1145752339,9.11404800415039,-37.11790466308594,-13.76821327209473,5.66901445388794,1.28244054317474,7.40131235122681,1.39230024814606,-0.54409760236740,-0.60400933027267
34,1145760672,9.12056732177734,-37.11836242675781,-13.77463817596436,5.67123889923096,1.28901386260986,7.35639142990112,1.29957664012909,-0.49640384316444,-0.54399514198303
35,1145769005,9.12753677368164,-37.11840057373047,-13.78116130828857,5.66623878479004,1.29911363124847,7.40651130676270,1.32975018024445,-0.44914561510086,-0.58479863405228
36,1145777338,9.13265895843506,-37.11838150024414,-13.78614616394043,5.68055915832520,1.28615272045135,7.39171934127808,1.28492522239685,-0.41938182711601,-0.46968820691109
37,1145785671,9.13729381561279,-37.11757659912109,-13.79154205322266,5.67669630050659,1.30715346336365,7.39611816406250,1.19660747051239,-0.33129450678825,-0.52532231807709
38,1145794004,9.14150333404541,-37.11709594726562,-13.79754352569580,5.66769838333130,1.30578720569611,7.42050218582153,1.10211646556854,-0.36999762058258,-0.45752146840096
39,1145802337,9.14617824554443,-37.11581039428711,-13.80338859558105,5.67746877670288,1.29512238502502,7.37966680526733,1.16863667964935,-0.28047585487366,-0.57524448633194
40,1145810670,9.14923954010010,-37.11371231079102,-13.80768680572510,5.68303394317627,1.32807576656342,7.37632036209106,1.02924406528473,-0.16418725252151,-0.40665161609650
41,1145819003,9.15169334411621,-37.11107254028320,-13.81080341339111,5.65653276443481,1.31407022476196,7.39491653442383,0.98508501052856,-0.09157088398933,-0.37706714868546
42,1145827336,9.15233325958252,-37.10757827758789,-13.81394767761230,5.64380025863647,1.26085293292999,7.37977266311646,0.87963122129440,0.01976138167083,-0.36264634132385
43,1145835669,9.15210914611816,-37.10459518432617,-13.81635189056396,5.65517377853394,1.28627431392670,7.40575313568115,0.83075928688049,-0.02825250104070,-0.28324219584465
44,1145844002,9.15169429779053,-37.09998321533203,-13.81900978088379,5.66832780838013,1.31608736515045,7.38747072219849,0.76905453205109,0.16929727792740,-0.24710050225258
45,1145852335,9.15077400207520,-37.09614944458008,-13.82140350341797,5.66357803344727,1.32506418228149,7.40211963653564,0.74771791696548,0.07086177915335,-0.29797038435936
46,1145860668,9.14916801452637,-37.09159088134766,-13.82309436798096,5.66349983215332,1.31135213375092,7.40387964248657,0.59987258911133,0.15879544615746,-0.27955374121666
47,1145869001,9.14756107330322,-37.08705902099609,-13.82541084289551,5.67428588867188,1.31565105915070,7.41824197769165,0.64846277236938,0.16309864819050,-0.21669642627239
48,1145877334,9.14470767974854,-37.08211898803711,-13.82550048828125,5.65727663040161,1.29774034023285,7.41387271881104,0.68245285749435,0.23819959163666,-0.10179097205400
49,1145885667,9.14477825164795,-37.07655715942383,-13.82774734497070,5.67401409149170,1.28488671779633,7.40578985214233,0.87663435935974,0.28043743968010,-0.31715542078018
50,1145894000,9.14295578002930,-37.07026290893555,-13.82761096954346,5.66749095916748,1.28836286067963,7.36611223220825,0.68911254405975,0.38694143295288,-0.16533988714218
51,1145902333,9.14216709136963,-37.06188583374023,-13.82948398590088,5.66935062408447,1.26844942569733,7.39613962173462,0.80120044946671,0.61629134416580,-0.33434259891510
52,1145910666,9.14150428771973,-37.05340957641602,-13.83274364471436,5.67176818847656,1.28500103950500,7.38339328765869,0.65507125854492,0.60986214876175,-0.43413564562798
53,1145918999,9.14065837860107,-37.04336547851562,-13.83574104309082,5.66221189498901,1.30614483356476,7.40653991699219,0.74669337272644,0.81733745336533,-0.31387683749199
54,1145927332,9.13981533050537,-37.03207778930664,-13.83799934387207,5.65794801712036,1.26043105125427,7.40372800827026,0.76559662818909,0.95708870887756,-0.42747595906258
55,1145935665,9.13969039916992,-37.01978302001953,-13.84157276153564,5.65339946746826,1.25611793994904,7.34082698822021,0.75827097892761,1.05724024772644,-0.57119739055634
56,1145943998,9.14279460906982,-37.00735092163086,-13.84652042388916,5.63375806808472,1.26787722110748,7.38396549224854,0.97519785165787,1.04924869537354,-0.68144112825394
57,1145952331,9.14690017700195,-36.99584197998047,-13.85255050659180,5.63818550109863,1.25114667415619,7.38492393493652,1.08846414089203,0.92596739530563,-0.78861105442047
58,1145960664,9.15525436401367,-36.98516082763672,-13.85982513427734,5.62935924530029,1.27409744262695,7.40043067932129,1.43097758293152,0.80570852756500,-0.87869632244110
59,1145968997,9.16285705566406,-36.97579956054688,-13.86713886260986,5.65261507034302,1.31111609935760,7.43440294265747,1.39014852046967,0.65709471702576,-0.78471767902374
60,1145977330,9.16817188262939,-36.96710968017578,-13.87235736846924,5.61649799346924,1.26364970207214,7.42228937149048,1.29140567779541,0.60530281066895,-0.65959215164185
61,1145985663,9.17925357818604,-36.95840835571289,-13.87911605834961,5.64319944381714,1.30301892757416,7.37932062149048,1.87371957302094,0.58227556943893,-0.80567014217377
62,1145993996,9.18806838989258,-36.94983673095703,-13.88507938385010,5.66413545608521,1.36429297924042,7.42508268356323,1.61609172821045,0.58053380250931,-0.66837781667709
63,1146002329,9.19076919555664,-36.94060516357422,-13.88718986511230,5.65460109710693,1.29351294040680,7.38923740386963,1.20239615440369,0.71572571992874,-0.37517166137695
64,1146010662,9.19527053833008,-36.93100357055664,-13.89260578155518,5.59253597259521,1.21571862697601,7.36614084243774,1.31776261329651,0.75010001659393,-0.40186166763306
65,1146018995,9.20645332336426,-36.92138290405273,-13.90013504028320,5.60372734069824,1.22299575805664,7.40744924545288,1.83217334747314,0.69175070524216,-0.77672594785690
66,1146027328,9.21851444244385,-36.91255950927734,-13.90638923645020,5.60686969757080,1.32148516178131,7.40984487533569,2.02761030197144,0.60391962528229,-0.76135748624802
67,1146035661,9.22548580169678,-36.90347290039062,-13.90883445739746,5.62231302261353,1.30786859989166,7.44310283660889,1.69121825695038,0.69374871253967,-0.40555021166801
68,1146043994,9.23363018035889,-36.89550018310547,-13.91321945190430,5.67523384094238,1.08553981781006,7.48421287536621,1.63768446445465,0.53186678886414,-0.52504056692123
69,1146052327,9.24353122711182,-36.88762664794922,-13.91814899444580,5.63727807998657,1.30071687698364,7.42739295959473,1.86429357528687,0.51014590263367,-0.61725181341171
70,1146060660,9.25253486633301,-36.88200378417969,-13.92348480224609,5.63734149932861,1.39635467529297,7.41612148284912,1.71562862396240,0.24900877475739,-0.51466679573059
71,1146068993,9.25880813598633,-36.87604522705078,-13.92759990692139,5.64439439773560,1.40102016925812,7.40377902984619,1.52016651630402,0.31435069441795,-0.34620201587677
72,1146077326,9.25867271423340,-36.87009048461914,-13.92886829376221,5.64010238647461,1.37268066406250,7.42481660842896,0.92299622297287,0.33878672122955,-0.23316638171673
73,1146085659,9.26270008087158,-36.86469650268555,-13.93007373809814,5.63912248611450,1.37565624713898,7.45106649398804,1.42687952518463,0.27636480331421,-0.21784909069538
74,1146093992,9.26410865783691,-36.85844039916992,-13.93122768402100,5.66984415054321,1.34871149063110,7.41608905792236,1.05990421772003,0.37664452195168,-0.18864883482456
75,1146102325,9.26996231079102,-36.85216903686523,-13.93493270874023,5.62978792190552,1.25671160221100,7.40994548797607,1.46609473228455,0.34040039777756,-0.47248014807701
76,1146110658,9.27776908874512,-36.84759140014648,-13.94094753265381,5.65091753005981,1.27394974231720,7.44437742233276,1.52298402786255,0.11302281171083,-0.55600821971893
77,1146118991,9.29035377502441,-36.84288787841797,-13.94826126098633,5.63507556915283,1.29393863677979,7.41331005096436,1.97817456722260,0.10236728936434,-0.71765959262848
78,1146127324,9.30436229705811,-36.84084320068359,-13.95604419708252,5.61616230010986,1.30822753906250,7.45127868652344,2.15173649787903,-0.22409893572330,-0.77626496553421
79,1146135657,9.31639194488525,-36.83876419067383,-13.96301174163818,5.64743089675903,1.33646512031555,7.49097967147827,1.85082054138184,-0.22225470840931,-0.74706476926804
80,1146143990,9.33369541168213,-36.83676910400391,-13.97198390960693,5.65734291076660,1.35920011997223,7.43545675277710,2.46225810050964,-0.24873985350132,-0.88894206285477
81,1146152323,9.34164333343506,-36.83516693115234,-13.97672843933105,5.63857650756836,1.44534552097321,7.46822214126587,1.64193642139435,-0.22983650863171,-0.47924229502678
82,1146160656,9.34776878356934,-36.83293533325195,-13.98009109497070,5.63646888732910,1.33014976978302,7.44552278518677,1.48446011543274,-0.12889081239700,-0.29694581031799
