sep=,
DeviceTag:,RF-3
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
StartTime: ,2022-09-15_12:39:54_000 CEST
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1145494016,-8.18761348724365,-29.69251251220703,1.68279182910919,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1145502349,-8.18674468994141,-29.68124389648438,1.68698453903198,4.93423843383789,-1.38533401489258,8.62444019317627,1.08686316013336,-0.51537120342255,-0.06878703087568
2,1145510682,-8.18206501007080,-29.66970062255859,1.68780612945557,4.89035558700562,-1.31218898296356,8.67532444000244,1.33918905258179,-0.42964035272598,-0.40697175264359
3,1145519015,-8.17916488647461,-29.65973472595215,1.68881237506866,4.92767238616943,-1.26303470134735,8.66899490356445,1.13668286800385,-0.61985170841217,-0.41680762171745
4,1145527348,-8.17752075195312,-29.64985084533691,1.69219720363617,4.95336532592773,-1.19996809959412,8.68343734741211,1.13409578800201,-0.67018359899521,-0.17367732524872
5,1145535681,-8.17945003509521,-29.63956260681152,1.69734680652618,4.94877290725708,-1.18385982513428,8.66014766693115,0.80249398946762,-0.64275085926056,0.01775066554546
6,1145544014,-8.18419075012207,-29.63063430786133,1.70399403572083,4.93232154846191,-1.27960789203644,8.67227172851562,0.56097728013992,-0.82886379957199,0.14497657120228
7,1145552347,-8.18878269195557,-29.62157821655273,1.70979225635529,4.94275093078613,-1.32798981666565,8.68606853485107,0.52870339155197,-0.80381304025650,0.06085941940546
8,1145560680,-8.19067573547363,-29.61158943176270,1.71586143970490,4.93503236770630,-1.33109402656555,8.67759990692139,0.86053580045700,-0.69144338369370,0.10757978260517
9,1145569013,-8.19136714935303,-29.60239219665527,1.71988677978516,4.93709945678711,-1.30482161045074,8.64486122131348,0.88540726900101,-0.75658047199249,-0.11730039119720
10,1145577346,-8.19226741790771,-29.59170913696289,1.72367823123932,4.92877388000488,-1.30951392650604,8.65360927581787,0.85144275426865,-0.58048260211945,-0.12024601548910
11,1145585679,-8.19149589538574,-29.58273124694824,1.72752761840820,4.91514778137207,-1.33087217807770,8.66239356994629,1.04982495307922,-0.77822446823120,-0.13889317214489
12,1145594012,-8.18852329254150,-29.57362365722656,1.72858190536499,4.91057682037354,-1.36300992965698,8.68717861175537,1.15397238731384,-0.72681671380997,-0.42899999022484
13,1145602345,-8.18261241912842,-29.56394577026367,1.72845768928528,4.93363761901855,-1.32125890254974,8.66797924041748,1.43839287757874,-0.64182871580124,-0.54167699813843
14,1145610678,-8.17634487152100,-29.55344963073730,1.72790181636810,4.93149232864380,-1.29118132591248,8.64926910400391,1.44779324531555,-0.53373658657074,-0.56839263439178
