sep=,
DeviceTag:,RF-3
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
StartTime: ,2022-09-15_12:38:00_000 CEST
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1031256919,-5.28037595748901,-40.12862396240234,-16.39176750183105,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1031265252,-5.06753063201904,-40.29778289794922,-16.53337860107422,6.58053445816040,-0.58394044637680,7.50883197784424,15.32089614868164,-20.84634017944336,-15.43438148498535
2,1031273585,-4.85669660568237,-40.45703125000000,-16.67040443420410,6.60482406616211,-0.54307496547699,7.46684265136719,15.39658832550049,-19.75571060180664,-14.81328582763672
3,1031281918,-4.65447807312012,-40.60323715209961,-16.80079078674316,6.64197540283203,-0.47464343905449,7.43981647491455,14.82456588745117,-18.26889991760254,-13.98901748657227
4,1031290251,-4.45780372619629,-40.73630905151367,-16.92891693115234,6.58316183090210,-0.37009057402611,7.33671998977661,14.32980346679688,-16.79055213928223,-13.57406616210938
5,1031298584,-4.27157068252563,-40.85388183593750,-17.05374336242676,6.14678096771240,0.07362475246191,6.87044000625610,13.28467369079590,-14.97976112365723,-13.06709480285645
6,1031306917,-4.15003013610840,-40.98305130004883,-17.16209030151367,6.04546833038330,0.64704096317291,7.08190584182739,6.79022073745728,-16.50973510742188,-11.61821079254150
7,1031315250,-4.11442184448242,-41.11062240600586,-17.24839210510254,6.87610626220703,0.06753953546286,7.62505531311035,-1.77924215793610,-16.50486946105957,-9.57396316528320
8,1031323583,-4.07773542404175,-41.22467803955078,-17.32951927185059,7.00468158721924,-0.82159096002579,7.69257688522339,-1.25686526298523,-14.92728805541992,-8.96828937530518
9,1031331916,-3.99218511581421,-41.32888031005859,-17.41465759277344,6.82232379913330,-1.17730128765106,7.54103088378906,4.24365186691284,-13.70418262481689,-9.22143459320068
10,1031340249,-3.86370491981506,-41.42588424682617,-17.49961853027344,6.80177402496338,-0.61698573827744,7.56438684463501,9.42782020568848,-12.88790798187256,-9.10873126983643
11,1031348582,-3.74913907051086,-41.51467514038086,-17.57566070556641,6.69408416748047,-0.09720414131880,7.49718332290649,8.42486763000488,-11.94986057281494,-8.21584224700928
12,1031356915,-3.66800236701965,-41.60032653808594,-17.63844108581543,6.67922878265381,-0.06609180569649,7.49814319610596,5.45561504364014,-11.66454410552979,-6.97216987609863
13,1031365248,-3.60484957695007,-41.68238449096680,-17.69052124023438,6.72993564605713,-0.39106443524361,7.47832107543945,4.17349386215210,-11.32861328125000,-5.96714401245117
