stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step
0,5.8580989999999815,0.8799946613052859,0.03313975697690312,1.166620000000023,0.4833140000000071,0.683306000000016,0.5857142857142879,6.5414049999999975,7.024719000000005,785,843,False,False
1,7.024719000000005,0.8829897516469328,0.036577836074984924,1.1499539999999797,0.44998199999997723,0.6999720000000025,0.608695652173926,7.724691000000007,8.174672999999984,927,981,False,False
2,8.174672999999984,0.8842983059707802,0.03812464609836387,1.1916190000000029,0.4583149999999705,0.7333040000000324,0.6153846153846411,8.907977000000017,9.366291999999987,1069,1124,False,False
3,9.366291999999987,0.8828248191638223,0.033987321798884355,1.1499539999999797,0.4583149999999705,0.6916390000000092,0.6014492753623375,10.057930999999996,10.516245999999967,1207,1262,False,False
4,10.516245999999967,0.9028250999947945,0.035185139653499786,1.1499540000000366,0.42498299999999745,0.7249710000000391,0.6304347826087097,11.241217000000006,11.666200000000003,1349,1400,False,False
5,11.666200000000003,0.9157450040410449,0.03448421343543573,1.1999519999999961,0.4916470000000004,0.7083049999999957,0.5902777777777761,12.374505,12.866152,1485,1544,False,False
6,12.866152,0.8492470580147069,0.03408085880714535,1.1166220000000067,0.47498100000001386,0.6416409999999928,0.5746268656716319,13.507792999999992,13.982774000000006,1621,1678,False,False
7,13.982774000000006,0.7757858130766635,0.03680690719798964,1.0749569999999835,0.44164899999998397,0.6333079999999995,0.589147286821714,14.616082000000006,15.05773099999999,1754,1807,False,False
8,15.05773099999999,0.7828507206778633,0.038807612683587255,1.2416170000000193,0.4666480000000206,0.7749689999999987,0.6241610738254926,15.832699999999988,16.29934800000001,1900,1956,False,False
9,16.29934800000001,0.7733258077029083,0.033554074090128574,1.2166179999999827,0.44164899999998397,0.7749689999999987,0.636986301369871,17.074317000000008,17.51596599999999,2049,2102,False,False
10,17.51596599999999,0.8598830076966708,0.03585502627441245,1.1416209999999865,0.4916470000000004,0.6499739999999861,0.5693430656934252,18.165939999999978,18.657586999999978,2180,2239,False,False
11,18.657586999999978,0.42232341685362695,0.03132181401114425,1.0332920000000172,0.32498700000002145,0.7083049999999957,0.6854838709677264,19.365891999999974,19.690878999999995,2324,2363,True,True
12,19.690878999999995,1.4350764885374458,0.03326181645211694,3.408196999999973,0.44164899999998397,2.966547999999989,0.8704156479217641,22.657426999999984,23.099075999999968,2719,2772,True,True
13,23.099075999999968,0.7697773661027609,0.0332640769805813,1.124955,0.44164899999998397,0.683306000000016,0.6074074074074216,23.782381999999984,24.224030999999968,2854,2907,False,False
14,24.224030999999968,0.8158712411327338,0.035814609662275614,1.0499580000000037,0.42498299999999745,0.6249750000000063,0.5952380952380991,24.849005999999974,25.273988999999972,2982,3033,False,False
15,25.273988999999972,0.7612555216752368,0.0350518191268292,1.2832820000000424,0.4916470000000004,0.791635000000042,0.6168831168831292,26.065624000000014,26.557271000000014,3128,3187,False,False
16,26.557271000000014,0.6953000085820678,0.03121350132420405,1.1749529999999595,0.46664799999996376,0.7083049999999957,0.6028368794326413,27.26557600000001,27.732223999999974,3272,3328,False,False
17,27.732223999999974,0.7702006935425438,0.03482652246386878,1.1999519999999961,0.4916470000000004,0.7083049999999957,0.5902777777777761,28.44052899999997,28.93217599999997,3413,3472,False,False
18,28.93217599999997,0.7480847006211276,0.03670323594186827,1.0999560000000201,0.4333159999999907,0.6666400000000294,0.6060606060606217,29.598816,30.03213199999999,3552,3604,False,False
19,30.03213199999999,0.8372518002023693,0.03627125044934523,1.2416170000000193,0.5083130000000438,0.7333039999999755,0.5906040268456088,30.765435999999966,31.27374900000001,3692,3753,False,False
20,31.27374900000001,0.720512656953047,0.038336701174468614,1.1499539999999797,0.47498100000001386,0.6749729999999659,0.5869565217391111,31.948721999999975,32.42370299999999,3834,3891,False,False
21,32.42370299999999,0.7058678566895173,0.03363849544286508,1.1749530000000163,0.45831500000002734,0.716637999999989,0.6099290780141665,33.14034099999998,33.598656000000005,3977,4032,False,False
22,33.598656000000005,0.7788944261906815,0.0337316542351387,1.1332879999999932,0.45831500000002734,0.6749729999999659,0.5955882352940911,34.27362899999997,34.731944,4113,4168,False,False
23,34.731944,0.7729263629330251,0.03217010277348377,1.0666239999999902,0.44998199999997723,0.616642000000013,0.5781250000000175,35.34858600000001,35.79856799999999,4242,4296,False,False
24,35.79856799999999,0.8013319357710019,0.039575560660351235,1.1999519999999961,0.5333120000000235,0.6666399999999726,0.5555555555555345,36.46520799999996,36.998519999999985,4376,4440,False,False
